epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1295,2.76671,3.89512,2.02122,0.01508,0.84615,0.02209,0.00813,1.81865,2.87751,1.43911,0.0002,0.0002,0.0002
2,14.4102,1.32198,1.98307,1.33693,0.76005,0.65385,0.73705,0.49917,1.22257,2.1104,1.28763,0.000415842,0.000415842,0.000415842
3,20.2554,1.03141,1.07664,1.19591,0.79111,0.82548,0.87777,0.56167,1.14811,1.22639,1.14771,0.000627328,0.000627328,0.000627328
4,25.3115,0.86321,0.7813,1.05227,0.93798,0.9359,0.96703,0.70899,0.85383,0.86631,1.04146,0.000834458,0.000834458,0.000834458
5,31.6916,0.7839,0.68246,1.02617,0.91143,0.96154,0.98082,0.75501,0.80772,0.89113,1.00561,0.00103723,0.00103723,0.00103723
6,37.0239,0.77132,0.63863,1.01749,0.98681,0.9589,0.98659,0.77657,0.76534,0.6298,1.00791,0.00123565,0.00123565,0.00123565
7,43.6877,0.69257,0.57564,0.98156,0.93125,0.82051,0.93367,0.70055,0.78291,0.94081,1.0209,0.00142971,0.00142971,0.00142971
8,49.3337,0.64233,0.54032,0.96439,0.97593,0.98718,0.99361,0.83134,0.6692,0.51443,0.93446,0.00161942,0.00161942,0.00161942
9,55.3126,0.61526,0.49775,0.96499,0.98464,0.98718,0.99392,0.82923,0.60478,0.46107,0.91419,0.00180477,0.00180477,0.00180477
10,61.0226,0.63163,0.50231,0.96196,0.96907,0.97436,0.99013,0.84191,0.60135,0.42715,0.91871,0.0018218,0.0018218,0.0018218
11,66.0509,0.62407,0.45446,0.95226,0.97212,0.98718,0.99386,0.86739,0.61337,0.39571,0.95162,0.001802,0.001802,0.001802
12,73.1025,0.64063,0.49908,0.9621,0.98198,0.98718,0.99374,0.85832,0.60791,0.40224,0.92614,0.0017822,0.0017822,0.0017822
13,77.8979,0.58363,0.43696,0.95332,0.97452,0.9806,0.99337,0.86361,0.58748,0.40583,0.9406,0.0017624,0.0017624,0.0017624
14,84.3425,0.58471,0.44405,0.94551,0.98706,0.97824,0.99374,0.83201,0.63705,0.40115,0.97203,0.0017426,0.0017426,0.0017426
15,89.8163,0.56903,0.43194,0.93361,0.99992,0.98718,0.99463,0.8633,0.60162,0.36351,0.94861,0.0017228,0.0017228,0.0017228
16,95.9349,0.55663,0.41884,0.94895,1,0.98497,0.99487,0.8949,0.55876,0.34215,0.92475,0.001703,0.001703,0.001703
17,101.673,0.53196,0.40136,0.92698,0.99789,1,0.995,0.88879,0.56872,0.35221,0.91893,0.0016832,0.0016832,0.0016832
18,106.947,0.50542,0.37278,0.92027,0.99806,1,0.995,0.88977,0.58705,0.34415,0.94185,0.0016634,0.0016634,0.0016634
19,113.574,0.52813,0.37183,0.94812,0.99927,1,0.995,0.89783,0.57101,0.33729,0.93214,0.0016436,0.0016436,0.0016436
20,118.957,0.52176,0.40375,0.93341,0.99886,1,0.995,0.88418,0.6016,0.3374,0.9493,0.0016238,0.0016238,0.0016238
21,125.155,0.50586,0.37097,0.93372,0.99836,1,0.995,0.88751,0.63154,0.34703,0.96205,0.001604,0.001604,0.001604
